RAND40499	17q21.31 deletion syndrome
RAND85862	Dyscognitive seizures
RAND56672	Focal impaired awareness seizures
RAND48847	Focal seizures with impairment of consciousness or awareness
RAND66783	automatism absence
RAND70220	automatism petit mal
RAND11485	complex partial seizure with automatisms
RAND55868	complex partial seizures with automatisms
RAND95383	epileptic automatism
RAND95735	epileptic complex partial seizures with automatisms
RAND25055	Secondarily generalised seizures
RAND99449	secondarily generalized seizure 
RAND43621	Secondarily generalized seizures
RAND19957	secondary generalisation
RAND53360	secondary generalised seizure
RAND42468	secondary generalised seizures
RAND27613	secondary generalized seizure
RAND62253	epileptic seizures - tonic
RAND94565	epileptic seizures, tonic
RAND57802	tonic epileptic seizure 
RAND33326	tonic seizure
RAND76909	tonic seizures
RAND77330	atonic epileptic seizures  
RAND73764	atonic seizure
RAND86878	atonic seizures
RAND77789	atonic seizures
RAND85291	atonic seizures
RAND26829	epileptic drop attack
RAND80597	epileptic drop attacks
RAND12313	epileptic seizures - atonic
RAND58686	benign neonatal convulsion
RAND79804	benign neonatal convulsion
RAND94579	benign neonatal convulsions
RAND60177	benign neonatal seizures
RAND32430	benign neonatal seizures
RAND68303	benign neonatal seizures disorder
RAND15159	convulsions, benign neonatal
RAND84476	neonatal convulsions, benign
RAND91493	Akinetic seizure without atonia
RAND35371	hallucination seizure
RAND59555	partial seizure, visual
RAND31703	seizure, visual partial
RAND68142	visual partial seizure 
RAND43513	visual partial seizures
RAND55328	gustatory partial seizure
RAND12103	gustatory partial seizurse   
RAND39927	gustatory seizure
RAND19911	partial seizure, gustatory
RAND91943	partial seizures, gustatory
RAND19801	seizure, gustatory partial
RAND77945	Reading seizure
RAND17966	partial seizures with impaired consciousness
RAND41136	partial seizures with impaired consciousness
RAND20900	partial seizures with illusions and hallucinations
RAND74439	partial seizures with illusions and hallucinations
RAND96417	partial seizures with multiple symptoms
RAND33996	partial seizures with multiple symptoms
RAND91754	generalised onset seizures
RAND89554	generalized convulsive seizure
RAND27328	generalized convulsive seizures
RAND22636	akinetic epileptic seizures
RAND30168	akinetic seizures
RAND97795	akinetic seizures
RAND56107	epileptic seizures - akinetic
RAND35338	seizures, akinetic
RAND43016	clonic epileptic seizures   
RAND43181	epileptic seizures - clonic
RAND80879	epileptic seizures, clonic
RAND95191	other specified myoclonus
RAND55830	symptomatic myoclonus
RAND33542	drug-induced myoclonus
RAND12657	segmental cord myoclonus
RAND81203	palatal-tympanic myoclonus
RAND47525	hyoid myoclonus
RAND65379	parietal lobe seizure
RAND32997	parietal lobe seizures
RAND91025	parietal lobe onset seizure
RAND53852	parietal lobe onset seizures
RAND64163	seizures of parietal lobe
RAND40729	occipital lobe onset seizure
RAND17253	occipital lobe onset seizures
RAND65853	myoclonic atonic seizure
RAND65455	myoclonic atonic seizures
RAND34831	myoclonic-atonic seizure
RAND73566	myoclonic-atonic seizures
RAND22021	myoclonic absence seizure
RAND90575	myoclonic absence seizures
RAND43227	situation related seizures
RAND34023	situation-related seizures
RAND23801	eyelid myoclonus with absences
RAND69471	photomyoclonus
RAND13936	non-convulsive simple partial status epilepticus
RAND79539	complex partial status epilepticus 
RAND24010	psychomotor status
RAND64841	status epilepticus, complex partial
RAND82875	auditory partial seizure
RAND88045	auditory partial seizure
RAND72951	auditory seizure
RAND85882	auditory seizures
RAND10538	Auditory uncinate fit
RAND62211	seizure, auditory
RAND98345	seizures, auditory
RAND99758	olfactory seizure
RAND78886	olfactory seizures
RAND41676	olfactory uncinate fit
RAND42830	seizure, olfactory
RAND78041	seizures, olfactory
RAND68284	Focal sensory vestibular seizure
RAND15919	seizure, vertiginous
RAND23261	seizure, vestibular
RAND71263	seizures, vertiginous
RAND90822	seizures, vestibular
RAND91486	vertiginous seizure
RAND58213	vertiginous seizures
RAND83237	vestibular seizures
RAND20219	absence seizure with impairment of consciousness only
RAND68667	absence seizures with mild clonic components
RAND96894	absence seizure with atonic components 
RAND31382	absence seizures with atonic components
RAND98908	absences, atonic
RAND77002	absence seizure with tonic components
RAND48957	absence seizures with tonic components
RAND13012	absence seizure with automatisms
RAND68119	absence seizure, automatisms
RAND35778	absence seizures with automatisms
RAND99715	absence seizure with autonomic components
RAND24806	other status epilepticus
RAND74438	convulsions grand mal
RAND39186	generalised tonic clonic seizure
RAND61870	generalised tonic clonic seizures
RAND14446	generalised tonic-clonic seizure
RAND94488	generalised tonic-clonic seizures
RAND85163	generalized tonic clonic seizure
RAND45241	generalized tonic clonic seizures
RAND85512	generalized tonic-clonic seizures
RAND36687	grand mal
RAND92832	grand mal convulsion
RAND40593	grand mal convulsions
RAND71297	tonic clonic convulsion
RAND26230	tonic clonic convulsions
RAND70168	tonic clonic seizure
RAND49056	tonic clonic seizures
RAND59956	tonic/clonic convulsions
RAND71474	tonic-clonic convulsion
RAND87607	tonic-clonic seizures
RAND54295	tonic-clonic seizure
RAND55096	focal Sensory Seizure
RAND40363	focal sensory seizures
RAND72102	salaam spasm
RAND88025	atypical absence seizure
RAND81917	atypical absence seizures
RAND96014	seizures, atypical absence
RAND74642	myoclonus, segmental
RAND65229	myoclonus, nocturnal
RAND57255	myoclonus, sleep
RAND23482	sleep myoclonus
RAND95794	focal seizure 
RAND23992	focal seizures
RAND55386	local convulsion
RAND72818	local seizure
RAND60585	local seizures
RAND84024	localisation related seizures
RAND25162	localization related seizure
RAND68719	partial afebrile seizures
RAND26594	partial seizure
RAND36675	partial seizures
RAND67023	partial seizure    
RAND12769	seizure, focal
RAND27994	seizure, partial
RAND81845	seizures, partial, afebrile
RAND17483	sensory seizure 
RAND60960	sensory seizures
RAND62819	status epilepticus, simple partial
RAND71140	Benign neonatal sleep myoclonus
RAND42577	myoclonus, benign neonatal sleep
RAND39960	focal clonic seizures
RAND93300	localized clonic seizures
RAND51715	Partial clonic seizures
RAND97451	focal tonic seizures
RAND59174	Local tonic seizures
RAND85766	Partial tonic seizures
RAND94887	afebrile seizure
RAND59588	afebrile seizures
RAND52649	bilateral convulsive seizure
RAND67883	bilateral convulsive seizures
RAND21033	Generalized tonic-clonic seizures, secondary
RAND46643	Secondarily generalised tonic-clonic seizures
RAND95281	Secondary generalised tonic clonic seizure
RAND43965	Secondary generalised tonic clonic seizures
RAND14160	Secondary generalized tonic clonic seizure
RAND60799	Secondary generalized tonic clonic seizures
RAND97242	seizure free
RAND17578	seizure due to metabolic disorder
RAND92989	seizures due to metabolic disorder
RAND92481	epileptic spasms
RAND55449	salaam attack
RAND21278	salaam attacks
RAND41341	salaam seizure
RAND74617	salaam seizures
RAND15570	intractable myoclonic seizure   
RAND23970	myoclonic seizure, intractable
RAND86685	myoclonic seizure, refractory
RAND25613	myoclonic seizures, intractable
RAND14078	hemiclonic seizures
RAND95489	Unilateral clonic seizures
RAND16105	pyridoxine dependent seizures
RAND59690	pyridoxine-dependent seizures
RAND47125	pyridoxal phosphate-responsive seizures
RAND13901	pyridoxine-5'-phosphate oxidase deficiency
RAND39142	vitamine B6 dependent seizures
RAND75605	non-epileptic myoclonus
RAND32940	myoclonus of stapedius muscle
RAND10036	stapedial myoclonus
RAND53056	myoclonus of tensor tympani muscle
RAND17544	myoclonus tensor tympani muscle
RAND26180	tensor tympani myoclonus
RAND14119	photosensitive seizures
RAND22107	febrile myoclonus
RAND34529	myoclonus associated with fever
RAND94437	hypnic jerk
RAND36076	hypnic twitch
RAND61055	post traumatic seizure
RAND85037	Post traumatic seizures
RAND40192	post-traumatic seizure
RAND16559	post-traumatic seizures
RAND47714	focal seizure with experiential sensory symptoms
RAND11999	focal seizure with experiential sensory symptoms
RAND64710	temporo-parieto-occipital junction seizure
RAND71213	temporo-parieto-occipital junction seizure
RAND56691	migrating partial seizures in infancy
RAND34216	migrating partial seizures in infancy
RAND26848	myoclonic seizure, non-refractory
RAND91129	myoclonic seizures, non-intractable
RAND41293	intractable atonic seizures
RAND31814	refractory atonic seizures 
RAND77545	non-intractable atonic seizures
RAND34069	non-refractory atonic seizure 
RAND98332	non-intractable typical absence seizure
RAND99213	non-refractory typical absence seizures 
RAND64447	typical absence seizures, non-intractable
RAND62474	typical absence seizures, non-refractory
RAND57553	intractable typical absence seizure
RAND61054	refractory typical absence seizure 
RAND17611	typical absence seizures intractable
RAND74758	typical absence seizures refractory
RAND98222	Complex partial epileptic seizure of temporal lobe
RAND17694	Complex partial seizure of temporal lobe
RAND20983	Partial epileptic seizures of temporal lobe with impairment of consciousness
RAND86510	Partial seizure of the temporal lobe with impairment of conciousness
RAND31183	Partial seizures of the temporal lobe with impairment of conciousness
RAND78577	temporal lobe complex partial seizures
RAND33498	intractable absence seizures
RAND77256	intractable absence seizures
RAND99578	seizure disorder as sequela of stroke
RAND11712	seizure disorder as sequela of stroke
RAND42522	rolandic seizures with status epilepticus
RAND27820	rolandic seizures with status epilepticus
RAND88036	status epilepticus in benign rolandic epilepsy
RAND82098	post-cerebrovascular accident epilepsy
RAND84363	spinal cord myoclonus
RAND47400	spinal myoclonus
RAND16200	brainstem myoclonus
RAND76990	cerebral cortex myoclonus
RAND17299	cortical myoclonus
RAND61401	Absence seizure with eyelid myoclonia
RAND89095	Absence seizures with eyelid myoclonia
RAND23583	symptomatic seizure
RAND69776	symptomatic seizures
RAND63236	Complex partial seizure of frontal lobe 
RAND15289	frontal lobe complex partial seizure
RAND68097	frontal lobe complex partial seizures
RAND52362	Complex partial seizure of parietal lobe
RAND50505	parietal lobe complex partial seizure
RAND44719	Partial epileptic seizures of parietal lobe with impairment of consciousness
RAND51381	Complex partial seizure of occipital lobe
RAND76448	Complex partial seizures of occipital lobe
RAND42054	adolescent benign focal crisis
RAND97558	benign focal seizure of adolescence
RAND79854	benign focal seizures of adolescence
RAND80049	absence seizure
RAND61046	absence seizures
RAND94615	petit-mal seizure
RAND71997	petit mal
RAND57221	petit-mal seizures
RAND14225	attack - epileptic
RAND90116	epileptic attacks
RAND84949	epileptic convulsions
RAND38698	epileptic fit
RAND76444	epileptic fits
RAND81196	epileptic seizure
RAND24727	epileptic seizures
RAND94178	myoclonic epileptic seizure
RAND94479	myoclonic epileptic seizures    
RAND46585	myoclonic seizure
RAND37141	myoclonic seizures
RAND54097	focal myoclonus
RAND59119	Focal emotional seizure
RAND47042	Generalised tonic seizure
RAND92960	Generalised tonic seizures
RAND13205	frontal lobe onset seizure
RAND47088	myoclonic absence
RAND58437	myoclonic absences
RAND31497	typical absence seizure
RAND14268	typical absence seizures 
RAND98747	typical absences
RAND30780	Piracetam
RAND27416	Piracetam
RAND46801	Piracetam (product)
RAND14838	Product containing piracetam
RAND75941	Product containing piracetam (medicinal product)
RAND55232	Piracetam
RAND40839	Piracetam
RAND26455	Piracetam (substance)
RAND56194	Piracetam (substance)
RAND94099	Barbiturate antiepileptic
RAND95984	Barbiturate antiepileptic
RAND86883	Barbiturate antiepileptic
RAND68347	Barbiturate antiepileptic (product)
RAND10465	Barbiturate antiepileptic (substance)
RAND69340	Barbiturate antiepileptic (substance)
RAND11629	Beclamide
RAND53180	Beclamide
RAND86426	Beclamide - chemical (substance)
RAND99773	Beclamide (substance)
RAND34219	Beclamide - chemical
RAND72430	Beclamide
RAND85263	Beclamide
RAND96640	Beclamide (product)
RAND86331	Beclamide
RAND27602	Beclamide (substance)
RAND25829	Carbazepine antiepileptic
RAND18717	Carbazepine antiepileptic
RAND99755	Carbazepine antiepileptic
RAND68697	Carbazepine antiepileptic (product)
RAND97349	Carbazepine antiepileptic (substance)
RAND48565	Carbazepine antiepileptic (substance)
RAND95724	Drugs for control of epilepsy
RAND16162	Drugs for the control of epilepsy
RAND27578	Drugs for the control of epilepsy
RAND86877	Drugs for the control of epilepsy (product)
RAND98490	Drugs for the control of epilepsy (substance)
RAND14144	Drugs used in status epilept
RAND61906	Drugs used in status epilepticus
RAND52386	Drugs used in status epilepticus (product)
RAND40919	Drugs used in status epilepticus
RAND61284	Drugs used in status epilepticus (substance)
RAND25754	Febrile Convulsion Medications
RAND89963	Gaba related antiepileptic
RAND18279	Gaba related antiepileptic
RAND38523	Gaba related antiepileptic (product)
RAND15142	Gaba related antiepileptic (substance)
RAND99557	Gabapentin
RAND24398	gabapentin
RAND25168	Gabapentin
RAND71131	Gabapentin
RAND42920	gabapentin
RAND41193	Product containing gabapentin
RAND34154	Gabapentin (product)
RAND83477	Product containing gabapentin (medicinal product)
RAND73533	Gabapentin
RAND81725	Gabapentin
RAND32882	Gabapentin (substance)
RAND18408	Gabapentin (substance)
RAND81889	Hydantoin
RAND57449	Hydantoin antiepileptic
RAND11392	Hydantoin derivative anticonvulsant (substance)
RAND38359	Hydantoin (product)
RAND42499	Hydantoin
RAND21866	Hydantoin derivative anticonvulsant (product)
RAND85053	Hydantoin derivative anticonvulsant
RAND82360	Hydantoin derivative anticonvulsant
RAND91542	Hydantoin derivative anticonvulsant
RAND23359	Hydantoin
RAND27551	Hydantoin antiepileptic
RAND69052	Hydantoin (substance)
RAND93238	Hydantoin (substance)
RAND34441	Lamotrigine
RAND47450	lamotrigine
RAND63909	Lamotrigine
RAND73327	lamoTRIgine
RAND27133	Lamotrigine
RAND94739	lamotrigine
RAND41950	Product containing lamotrigine (medicinal product)
RAND71928	Lamotrigine (product)
RAND57402	Product containing lamotrigine
RAND88462	Lamotrigine
RAND94339	Lamotrigine
RAND64046	Lamotrigine (substance)
RAND51562	Lamotrigine (substance)
RAND62118	Succinimides
RAND10786	Succinimide antiepileptic
RAND81546	Succinimide antiepileptic
RAND23386	Product containing succinimide
RAND52542	Product containing succinimide (medicinal product)
RAND20932	Succinimide (product)
RAND36722	Succinimide
RAND97106	Succinimide
RAND86182	Succinimide (substance)
RAND52894	Succinimide (substance)
RAND42333	Valproate
RAND94894	Valproate product
RAND87168	Valproate
RAND23596	Valproate
RAND83381	Valproate
RAND87296	Valproate (substance)
RAND97199	Valproate
RAND60128	Valproate
RAND59272	Valproate (product)
RAND99899	Product containing valproate
RAND42654	Product containing valproate (medicinal product)
RAND48372	Valproate product
RAND35954	Valproate
RAND16282	Valproate
RAND87728	Valproate (substance)
RAND45098	Valproate (substance)
RAND24752	topiramate
RAND29767	topiramate
RAND10472	Topiramate
RAND84862	Topiramate
RAND90012	Topiramate
RAND15660	Product containing topiramate (medicinal product)
RAND69931	Product containing topiramate
RAND83693	Topiramate (product)
RAND62031	Topiramate
RAND13902	Topiramate
RAND50860	Topiramate (substance)
RAND60419	Topiramate (substance)
RAND97143	Benzodiazepine antiepileptic
RAND14901	Benzodiazepine antiepileptic (product)
RAND10815	Benzodiazepine antiepileptic
RAND74034	Benzodiazepine antiepileptic
RAND32993	Benzodiazepine antiepileptic (product)
RAND68340	Benzodiazepine antiepileptic
RAND86615	Benzodiazepine antiepileptic
RAND86321	tiagabine
RAND39672	Tiagabine
RAND77961	Tiagabine
RAND67150	tiaGABine
RAND82850	Tiagabine
RAND60777	tiagabine
RAND18957	Tiagabine (product)
RAND85351	Product containing tiagabine
RAND28835	Product containing tiagabine (medicinal product)
RAND60172	Tiagabine
RAND93186	Tiagabine
RAND48971	Tiagabine (substance)
RAND25971	Tiagabine (substance)
RAND14000	Epilim Chrono
RAND22995	Hydantoin
RAND34389	Hydantoin antiepileptic
RAND68156	Hydantoin derivative anticonvulsant (substance)
RAND81962	Hydantoin (product)
RAND50240	Hydantoin
RAND18071	Hydantoin derivative anticonvulsant (product)
RAND67353	Hydantoin derivative anticonvulsant
RAND24061	Hydantoin derivative anticonvulsant
RAND59136	Hydantoin derivative anticonvulsant
RAND91381	Hydantoin
RAND53884	Hydantoin antiepileptic
RAND40939	Hydantoin (substance)
RAND95384	Hydantoin (substance)
RAND85093	lacosamide
RAND53619	Lacosamide (substance)
RAND63993	Lacosamide
RAND43328	Lacosamide
RAND40903	Lacosamide
RAND34447	Lacosamide
RAND75598	Product containing lacosamide
RAND83629	Product containing lacosamide (medicinal product)
RAND45534	Lacosamide (product)
RAND90960	Barbiturates
RAND76560	Barbiturates
RAND82133	Barbiturate
RAND63056	Barbiturate
RAND98222	Barbiturates
RAND73141	Barbiturate (substance)
RAND28755	Barbiturate
RAND36021	Barbiturates
RAND36630	Barbiturate
RAND17911	Barbiturates
RAND72177	Barbiturate
RAND93919	Barbiturate
RAND68088	Barbiturate (product)
RAND28369	Barbiturate (substance)
RAND30417	"Barbiturate, NOS"
RAND81228	Barbiturate (substance)
RAND94320	topiramate 15 MG Oral Capsule
RAND39321	Topiramate 15mg capsule (product)
RAND20056	Topiramate 15mg capsule
RAND93027	Topiramate 15mg beads in capsule (product)
RAND64568	Topiramate 15mg beads in capsule
RAND78378	Topiramate 15mg beads in capsule (substance)
RAND32288	Topiramate 15mg sprinkle capsule
RAND89117	Benzodiazepine
RAND78612	Benzodiazepine
RAND13142	Benzodiazepine (product)
RAND84132	Benzodiazepine (substance)
RAND57035	Benzodiazepine
RAND79407	Benzodiazepine
RAND22583	Benzodiazepine, NOS
RAND22728	Benzodiazepine (substance)
RAND89829	potassium bromide
RAND70963	Potassium bromide
RAND76515	Potassium bromide (product)
RAND39845	Potassium bromide
RAND42824	Potassium bromide (substance)
RAND89176	Carbamazepine
RAND89890	Carbamazepine
RAND71363	Carbamazepine
RAND84706	Carbamazepine
RAND91336	Carbamazepine product
RAND40722	Carbamazepine
RAND82915	Carbamazepine - chemical
RAND53041	Carbamazepine
RAND71271	carBAMazepine
RAND64066	Carbamazepine
RAND41765	Carbamazepine - chemical (substance)
RAND17137	Carbamazepine - chemical
RAND80738	Carbamazepine
RAND76035	Product containing carbamazepine (medicinal product)
RAND10845	Carbamazepine (product)
RAND96678	Carbamazepine product
RAND39972	Product containing carbamazepine
RAND10743	Carbamazepine
RAND58768	Carbamazepine
RAND65035	Carbamazepine (substance)
RAND26518	Carbamazepine (substance)
RAND45304	felbamate
RAND97437	Felbamate
RAND94170	Felbamate
RAND74487	Felbamate product (product)
RAND35958	Product containing felbamate
RAND30722	Product containing felbamate (medicinal product)
RAND62586	Felbamate
RAND93464	Felbamate (substance)
RAND99942	Felbamate product
RAND71799	zonisamide
RAND77372	Zonisamide
RAND62234	Zonisamide
RAND86440	zonisamide
RAND55989	Zonisamide (product)
RAND24858	Product containing zonisamide (medicinal product)
RAND32933	Product containing zonisamide
RAND31392	Zonisamide (substance)
RAND16500	Zonisamide
RAND56256	Zonisamide
RAND70905	sulthiame
RAND46697	Sultiame
RAND31280	Sultiame (product)
RAND16292	Sulthiame
RAND56001	Sulthiame
RAND43883	sultiame
RAND95128	Sulthiamine
RAND80941	Sulthiamine (substance)
RAND23745	Sulthiame
RAND30321	Sultiame
RAND25799	Parenteral phenobarbitone
RAND61881	Parenteral phenobarbital
RAND71305	Parenteral phenobarbitone (product)
RAND44027	Parenteral phenobarbitone
RAND35329	Parenteral phenobarbital (product)
RAND60965	Parenteral form phenobarbital
RAND82107	Parenteral form phenobarbital
RAND99612	Parenteral form phenobarbitone
RAND67670	Parenteral form phenobarbital
RAND27556	Product containing phenobarbitone in parenteral dosage form
RAND89852	Product containing phenobarbitone in parenteral dosage form (medicinal product form)
RAND96923	Parenteral form phenobarbitone (product)
RAND11973	Phenobarbitone in parenteral dosage form
RAND62404	Parenteral phenobarbitone (substance)
RAND87790	Methyl phenyl ethyl hydantoin
RAND57486	Methyl phenyl ethyl hydantoin (substance)
RAND95446	sodium bromide
RAND13693	Sodium bromide
RAND57682	Sodium bromide (substance)
RAND58026	topiramate 25 MG Oral Capsule
RAND14799	Topiramate 25mg capsule
RAND90396	Topiramate 25mg capsule (product)
RAND59022	Topiramate 25mg beads in capsule (product)
RAND37426	Topiramate 25mg beads in capsule
RAND11278	Topiramate 25mg beads in capsule (substance)
RAND52757	Topiramate 25mg sprinkle capsule
RAND68186	eslicarbazepine
RAND26514	Eslicarbazepine (substance)
RAND45655	Eslicarbazepine
RAND82022	Eslicarbazepine
RAND68980	Eslicarbazepine (product)
RAND96529	ezogabine
RAND67340	ezogabine
RAND98156	Retigabine
RAND62278	Retigabine (substance)
RAND80178	Ezogabine
RAND33909	Ezogabine
RAND86890	Ezogabine
RAND50497	Retigabine
RAND80199	Ezogabine
RAND52361	Product containing retigabine
RAND57544	Product containing retigabine (medicinal product)
RAND99918	Retigabine (product)
RAND77319	retigabine
RAND94519	Fosphenytoin &#x7C; Bld-Ser-Plas
RAND84025	methsuximide
RAND15060	methsuximide
RAND92280	Methsuximide
RAND87289	Methsuximide
RAND80378	Product containing mesuximide (medicinal product)
RAND89083	Methsuximide (product)
RAND85312	Product containing methsuximide
RAND77603	Mesuximide
RAND93909	Mesuximide (substance)
RAND23848	Methsuximide (substance)
RAND87493	Product containing mesuximide
RAND75416	mesuximide
RAND36253	Methsuximide
RAND47412	Methsuximide
RAND14338	Mesuximide
RAND37417	Gabapentin
RAND51975	gabapentin
RAND39402	Gabapentin
RAND53785	Gabapentin
RAND30112	gabapentin
RAND73768	Product containing gabapentin
RAND54457	Gabapentin (product)
RAND67102	Product containing gabapentin (medicinal product)
RAND90867	Gabapentin
RAND78291	Gabapentin
RAND45001	Gabapentin (substance)
RAND26879	Gabapentin (substance)
RAND82550	phensuximide
RAND96684	Phensuximide
RAND54828	Phensuximide - chemical
RAND33256	Phensuximide - chemical (substance)
RAND65386	Phensuximide
RAND37597	Phensuximide
RAND46837	Phensuximide
RAND10474	Phensuximide (product)
RAND24163	Phensuximide (substance)
RAND60000	Levetiracetam
RAND58873	Levetiracetam
RAND38460	levETIRAcetam
RAND19983	Levetiracetam
RAND61884	Levetiracetam (substance)
RAND88351	Levetiracetam
RAND33849	Levetiracetam (product)
RAND31145	Product containing levetiracetam
RAND66638	Product containing levetiracetam (medicinal product)
RAND85418	Levetiracetam
RAND31364	Levetiracetam (substance)
RAND98852	Levetiracetam
RAND42778	Levetiracetam
RAND57080	Levetiracetam (product)
RAND46087	Levetiracetam (substance)
RAND45515	Ethosuximide
RAND62426	Ethosuximide
RAND69741	Ethosuximide
RAND53379	Ethosuximide
RAND41007	Ethosuximide (substance)
RAND92978	Ethosuximide
RAND89262	Ethosuximide
RAND34045	Product containing ethosuximide (medicinal product)
RAND74370	Ethosuximide (product)
RAND93138	Product containing ethosuximide
RAND88768	Ethosuximide
RAND47003	Ethosuximide
RAND63083	Ethosuximide (substance)
RAND81707	Ethosuximide (substance)
RAND35084	Lamotrigine
RAND21737	lamotrigine
RAND86043	Lamotrigine
RAND93503	lamoTRIgine
RAND59565	Lamotrigine
RAND33140	lamotrigine
RAND11196	Product containing lamotrigine (medicinal product)
RAND30918	Lamotrigine (product)
RAND80530	Product containing lamotrigine
RAND47027	Lamotrigine
RAND31375	Lamotrigine
RAND97402	Lamotrigine (substance)
RAND55497	Lamotrigine (substance)
RAND84339	Vigabatrin &#x7C; bld-ser-plas
RAND57296	paramethadione
RAND31270	Paramethadione
RAND98861	Paramethadione - chemical
RAND68244	Paramethadione - chemical (substance)
RAND28012	Paramethadione
RAND66254	Paramethadione
RAND41028	Paramethadione
RAND10643	Isoethadione
RAND94122	Paramethad
RAND11468	Paramethadione (product)
RAND75095	Paramethadione (substance)
RAND64411	Stiripentol (product)
RAND47470	Stiripentol (substance)
RAND70891	Stiripentol
RAND30606	Stiripentol
RAND41368	Stiripentol
RAND83492	Stiripentol
RAND21004	Valproate
RAND83047	Valproate product
RAND16242	Valproate
RAND30819	Valproate
RAND51631	Valproate
RAND56524	Valproate (substance)
RAND45176	Valproate
RAND33673	Valproate
RAND92065	Valproate (product)
RAND60348	Product containing valproate
RAND73205	Product containing valproate (medicinal product)
RAND34994	Valproate product
RAND29919	Valproate
RAND24664	Valproate
RAND64951	Valproate (substance)
RAND24969	Valproate (substance)
RAND37334	Trimethadione
RAND70665	Trimethadione
RAND20034	Trimethadione
RAND80214	Trimethadione - chemical
RAND47035	Trimethadione - chemical (substance)
RAND59929	Trimethadione
RAND37997	Trimethadione (product)
RAND24649	Product containing trimethadione (medicinal product)
RAND91062	Product containing trimethadione
RAND77504	Trimethadione
RAND74143	Trimethadione
RAND47210	Troxidone
RAND22743	Trimethadione (substance)
RAND51272	Anticonvulsants &#x7C; urine
RAND98167	Anticonvulsants &#x7C; bld-ser-plas
RAND36739	phenacemide
RAND44129	Phenacemide
RAND12704	Phenacemide
RAND39802	Phenacemide
RAND32765	Phenacemide
RAND44484	Phenylacetylcarbamide
RAND65303	Phenylacetylurea
RAND49225	Phenacemide (product)
RAND87918	Phenacemide (substance)
RAND75939	Phenytoin
RAND10778	Phenytoin
RAND82303	Phenytoin
RAND79516	Phenytoin
RAND64888	Phenylhydantoin
RAND40296	Phenytoin product
RAND60288	Phenytoin
RAND88640	Phenytoin - chemical
RAND56302	Phenytoin
RAND79057	Phenytoin - chemical
RAND45773	Phenytoin - chemical (substance)
RAND73537	Phenytoin
RAND57904	Phenytoin product
RAND31097	DPH
RAND51571	Product containing phenytoin
RAND15656	Diphenylhydantoin
RAND95213	Phenylhydantoin
RAND73606	Product containing phenytoin (medicinal product)
RAND90725	Phenytoin (product)
RAND37389	Phenytoin
RAND69294	Phenytoin
RAND79408	Diphenylhydantoin
RAND78290	DPH
RAND24104	Phenytoin (substance)
RAND74818	Phenytoin
RAND26501	Phenytoin (substance)
RAND82486	pregabalin
RAND56096	Pregabalin
RAND22566	Pregabalin
RAND71556	pregabalin
RAND20876	Product containing pregabalin (medicinal product)
RAND57696	Pregabalin (product)
RAND32936	Product containing pregabalin
RAND37924	Pregabalin (substance)
RAND98249	Pregabalin
RAND60317	Pregabalin
RAND75934	Sulthiame &#x7C; bld-ser-plas
RAND64966	1-Hydroxymidazolam
RAND40591	1-Hydroxymidazolam
RAND71358	1-Hydroxymidazolam (substance)
RAND37173	1-Hydroxymidazolam
RAND25569	topiramate
RAND25791	topiramate
RAND30767	Topiramate
RAND14744	Topiramate
RAND30331	Topiramate
RAND46534	Product containing topiramate (medicinal product)
RAND10515	Product containing topiramate
RAND65034	Topiramate (product)
RAND90133	Topiramate
RAND96704	Topiramate
RAND85612	Topiramate (substance)
RAND80138	Topiramate (substance)
RAND79945	Mephenytoin
RAND95487	Mephenytoin
RAND60173	Mephenytoin
RAND38479	Mephenytoin
RAND38352	Mephenytoin (product)
RAND38950	Product containing mephenytoin (medicinal product)
RAND13637	Product containing mephenytoin
RAND83799	Mephenytoin
RAND73409	Methoin
RAND43399	Methylphenylethylhydantoin
RAND46428	Mephenytoin (substance)
RAND58961	Mephenytoin
RAND45269	oxcarbazepine
RAND61462	Oxcarbazepine
RAND95813	OXcarbazepine
RAND26786	Oxcarbazepine
RAND40125	Oxcarbazepine (substance)
RAND34018	Oxcarbazepine
RAND73532	oxcarbazepine
RAND35623	Product containing oxcarbazepine
RAND52779	Oxcarbazepine (product)
RAND51743	Product containing oxcarbazepine (medicinal product)
RAND33219	Oxcarbazepine (substance)
RAND37680	Oxcarbazepine
RAND90810	Oxcarbazepine
RAND43455	Oxcarbazepine (substance)
RAND60654	Primidone
RAND63687	Primidone
RAND95610	Hexamidinum
RAND37263	Primidone
RAND44598	Primidone
RAND35324	Primidone product (product)
RAND42246	Primidone product
RAND23709	Primidone
RAND37744	Desoxyphenobarbital
RAND37347	Primidone (product)
RAND82847	Hexamidinum
RAND42888	Product containing primidone (medicinal product)
RAND42060	Product containing primidone
RAND46058	Primidone
RAND48074	Primidone
RAND50266	Desoxyphenobarbital
RAND55490	Primidone (substance)
RAND85058	Primidone (substance)
RAND45077	Ethotoin
RAND47505	Ethotoin
RAND37899	Ethotoin
RAND98595	Product containing ethotoin (medicinal product)
RAND67796	Product containing ethotoin
RAND31239	Ethotoin product (product)
RAND76204	Ethotoin
RAND70164	Ethotoin (substance)
RAND17227	Ethotoin product
RAND99476	Ethotoin
RAND12127	Pheneturide &#x7C; bld-ser-plas
RAND64641	perampanel
RAND17108	Perampanel
RAND45890	Perampanel (substance)
RAND72811	Perampanel
